country_id;country_name;conflict_id;conflict_name;conflict_type_data_id;conflict_factor_data_id;conflict_intensity_data_id;conflict_subjects;conflict_history;conflict_regulation_practice;circle_coordinates;circle_custom_diameter;circle_conflict_type_data_id;circle_conflict_factors_data_id;circle_conflict_intensity_data_id;author;status;ДОПОЛН
67;Эстония;;;;;;;;;;;;;;;;
68;Эфиопия;;;;;;;;;;;;;;;;
69;Финляндия;;;;;;;;;;;;;;;;
70;Фиджи;;;;;;;;;;;;;;;;
71;Фолклендские (Мальвинские) острова;;;;;;;;;;;;;;;;
72;Франция;17;Франция/Корсика;;;;этнорегионалистские политические силы, подпольные сепаратистские движения / центральное правительство;"Корсика перешла к Франции в 1769 г. после аннексии Корсиканской республики французскими войсками и подписания соглашения с Генуэзской республикой (формально Корсика оставалась владением Генуи, фактически была независимой и имела собственную Конституцию). Ирредентистское движение, особенно активное в период фашизма в Италии, выступало за присоединение острова к Италии; в 1842 г. Корсика была оккупирована Италией при поддержке Германии; движение сопротивления поддержало силы французского армейского корпуса, освободившего остров в октябре 1943 г. С 1960-х гг. корсиканские сепаратистские группировки (Fronte di Liberazione Naziunale Corsu и др.) вели вооруженную борьбу против власти террористическими методами. На последних выборах в местные органы власти (2015 г.) впервые более трети голосов получила коалиция этнорегионалистских сил «За Корсику» (Pe a Corsica), ее представители возглавили местные органы власти (Ассамблею и Совет региона). Большинство населения не поддерживает притязания сепаратистов, но широкой поддержкой пользуются идеи деволюции, с которыми выступают умеренные этнорегионалистские силы. В повестке дня противостояния с Центром – меры по экономическому развитию острова (одного из беднейших регионов), поддержка корсиканского языка, борьба вокруг отмены налоговых льгот для жителей острова и против массовой постройки второго жилья нерезидентами на «острове красоты» (бренд острова, который живет в основном за счет туризма). В 2014 г. крупнейшая вооруженная группировка заявила о прекращении вооруженной борьбы, однако в дальнейшей было совершено несколько нападений, осуществленных предположительно небольшими отколовшимися группами. В конце сентября 2019 г. группа корсиканских националистов в видеообращении заявила о возрождении группы FLNC, она пригрозила атаковать собственность иностранных инвесторов и потребовала запретить продажу земли некорсиканцам. В 2020 г. было совершено несколько нападений, ответственность за которые взяла на себя FLNC. В сентябре 2021 г. они угрожали вернуться к насильственным методам, если не будут учтены их требования. В марте 2022 г. произошла эскалация конфликта. Демонстрации охватили несколько корсиканских городов, вылившиеся в ожесточенные столкновения между полицией и протестующими с десятками пострадавших. Поводом послужило нападение на Ивана Коллана, (корсиканским борцом за независимость, находящимся в пожизненном заключении) за которым последовала его смерть.";Корсика имеет особый статус Территориальной общности (Collectivit territorial de Corse, 1982), предоставляющий автономию в вопросах местного управления. Корсиканский язык (Corsu) имеет статус регионального (преподается в младших классах школы и по желанию в средней школе, в системе высшего образования в регионе), официальным языком является французский. Получает поддержку в рамках национальных и европейских программ как бедный регион (каждый пятый житель живет за чертой бедности, уровень образования самый низкий во Франции). Снижению напряженности способствовал приход националистов к власти, в 2015 г. они впервые получили политическое представительство. Успех был подтвержден отправкой трех корсиканских депутатов из четырех в Национальную ассамблею. На территориальных выборах в декабре 2017 г. победил блок   националистических сил. Они выступают за освобождение корсиканских боевиков из тюрьмы, за придание корсиканскому языку статуса второго государственного, за особый статус жителей во владении недвижимостью и предоставление им как коренным жителям других социальных преимуществ. Вопрос о независимости в ближней перспективе не рассматривается ввиду экономического положения острова. В марте 2022 года ввиду эскалации конфликта глава МВД Франции заявил, что вопрос о придании автономности Корсики может быть рассмотрен, если Макрона переизберут на второй срок.;42.21, 9.14;;101;201, 202;302;Татьяна Хайнацкая;upd;0
73;Франческа Гайана;;;;;;;;;;;;;;;;
74;Фарерские острова;;;;;;;;;;;;;;;;
75;Микронезия, Федеративные Штаты;;;;;;;;;;;;;;;;
76;Габон;;;;;;;;;;;;;;;;
77;Великобритания;15;Северная Ирландия ;;;;Юнионисты (лоялисты), центральные власти Великобритании / «националисты» (республиканцы);История конфликта связана с английской колонизацией Ирландии и политикой в отношении населения Ирландии (в т.ч. конфискация земель), которая приводила к конфликтам и беспорядкам. Война за независимость Ирландии (1919-1921 г.) привела к расколу острова на северную (6 графств – современная Северная Ирландия в составе Соединенного Королевства) и южную (современная Республика Ирландия) части и дальнейшему противостоянию. Конфликт связан с вопросом о статусе данного региона в составе Соединенного Королевства. Республиканские националистические организации, опирающиеся на часть местного католического сообщества (Ирландская республиканская армия, ИРА, политическое крыло – партия Шинн Фейн), стремились к достижению независимости Северной Ирландии от Соединенного Королевства и воссоединению с Республикой Ирландия. Община протестантов Северной Ирландии (Демократическая юнионистская партия, ДЮП) при поддержке центральных властей отстаивает сохранение провинции в составе Соединенного Королевства. Острая фаза конфликта пришлась на вторую половину XX в. Формально конфликт урегулирован Белфастским соглашением («Соглашение Страстной пятницы») 1998 г., де-факто продолжается в латентной форме. Выход Великобритании из Евросоюза (т.н. брексит) вновь обострил ситуацию и длительные переговоры об условиях выхода привели к появлению Протокола по Северной Ирландии, согласно которому страна остается частью общего рынка ЕС, в отличие от остальных частей Соединенного Королевства. Цель данного решения - избежать появления «жесткой границы» на острове и ограничения для передвижения людей, товаров и услуг, что неизбежно усилило бы конфликтный потенциал. Однако таможенная граница, проходящая по Северному морю, и начало таможенных проверок товаров из Великобритании, в свою очередь, вызвали протест со стороны юнионистов, опасающихся, что это шаг в сторону воссоединения с Республикой Ирландия. В результате в начале 2022 г. произошел политический кризис и уход в отставку Первого министра Северной Ирландии, принадлежащего к ДЮП. Дальнейший политический процесс, вероятно, заметно изменит баланс политических сил внутри страны, а социально-экономическая ситуация будет усиливать позиции сторонников объединения Ирландии.;Основа регулирования конфликта – «Соглашения Страстной Пятницы» (1998 г.) В рамках внедренной на основе этого соглашения модели «сообщественной демократии» (consociational democracy) страной совместно управляют ведущие политические силы, представляющие юнионистов (Демократическая юнионистская партия) и националистов (Шинн Фейн). Правительством Северной Ирландии были приняты программы, направленные на установление согласия между различными группами общества и преодоление сегрегации (2005 г. – «Общее будущее», 2013 г. «Вместе: построение объединенного сообщества»). В 2015 г. принята стратегия продвижения равенства между этническими группами (Racial Equality Strategy 2015 – 2025). Основной акцент сделан на создание общих пространств для взаимодействия. В области образования реализуются инициативы, направленные на преодоление сегрегации, предлагается расширять возможности обучения детей в интегрированных школах (сегодня около 9% младших классов). Ирландский гэльский и шотландский гэльский языки имеют официальный статус языков меньшинств. По результатам выхода Великобритании из ЕС важным элементом регулирования стал Протокол о Северной Ирландии (составная часть Соглашения о выходе из Европейского союза), позволивший избежать жесткой границы на острове.;54.60, -6.53;;102;201, 202, 205, 206;304;Елена Харитонова;upd;0
77;Великобритания;16;Шотландия ;;;;Шотландские националистические движения / шотландские юнионисты, центральные власти Великобритании;В XIII и XIV в. Шотландия вела войны с Англией и оставалась независимым государством. В начале XVII в. шотландский король унаследовал английскую корону и стал главой двух суверенных государств. Формально Шотландия стала частью союзного государства Великобритании в 1707 г., когда был подписан Договор об Унии. Во второй половине XIX- первой половине XX вв. в Шотландии оформилось движение в поддержку самоуправления (т.н. гомруль), на которое во многом повлияли процессы в соседней Ирландии. В 1979 и в 1997 гг. прошли референдумы о деволюции, по результатам которых в 1999 г. были сформированы шотландские органы власти и управления, в первую очередь парламент с широкими полномочиями. В 2011 г. Шотландская национальная партия, ведущая политическая сила региона, которая выступала за деволюцию и за независимость Шотландии, получила абсолютное большинство на выборах в парламент, сформировала правительство и объявила о проведении референдума о независимости. По итогам референдума (2014) разрыв между сторонниками независимости (44,7%) и теми, кто проголосовал за сохранение Шотландии в составе Великобритании (55,3%), оказался относительно большим. В 2016 г., после референдума о выходе Великобритании из Европейского Союза, дискуссии о необходимости проведения нового референдума о независимости Шотландии вступили в новую фазу, т.к. большинство избирателей Шотландии выступили за сохранение членства страны в ЕС. Пандемия COVID-19 в 2020-2021 г. усилила разногласия между Лондоном и Эдинбургом и обострила социально-экономическую ситуацию. Однако, фактический выход страны из ЕС в 2020 г. одновременно существенно усложняет гипотетическую независимость Шотландии, так как он потребовал бы законодательной, институциональной и экономической реинтеграции с Евросоюзом, и одновременно поднял бы новые вопросы, в частности, о таможенных границах с Англией, аналогично проблеме Северной Ирландии. Тем не менее, экономические и социальные сложности, связанные с последствиями COVID-19, растущей инфляцией и глобальной турбулентностью, вероятно, усилят и сепаратистские тенденции в среднесрочной перспективе.;"Регулирование вопросов о статусе Шотландии происходит в рамках институтов прямой демократии (референдумы о деволюции, о независимости). Регулирование других вопросов (предотвращение дискриминации в отношении иммигрантов и т.п.) происходит в рамках законодательства Великобритании (в настоящее время на основе ""Акта о равенстве"", 2010 г.). В рамках деволюции Шотландия обладает собственными парламентом и правительством, правовой системой, системой образования, церковью, организованной по пресвитерианскому типу. Исполнительные полномочия достаточно широки, в ведении местного правительства правосудие, образование, здравоохранение, полиция, сельское хозяйство, транспорт, экономическое развитие. В политике идентичности большую роль играет социальная политика.";57.03, -4.31;;102;201, 203, 203;305;Елена Харитонова;upd;0
78;Грузия;;;;;;;;;;;;;;;;
79;шерстяная фуфайка;;;;;;;;;;;;;;;;
80;Гана;;;;;;;;;;;;;;;;
81;Гвинея;;;;;;;;;;;;;;;;
82;Гамбия;;;;;;;;;;;;;;;;
83;Гвинея-Бисау;;;;;;;;;;;;;;;;
84;Экваториальная Гвинея;;;;;;;;;;;;;;;;
85;Греция;;;;;;;;;;;;;;;;
86;Гренада;;;;;;;;;;;;;;;;
87;Гренландия;;;;;;;;;;;;;;;;
88;Гватемала;;;;;;;;;;;;;;;;
89;Гуам;;;;;;;;;;;;;;;;
90;Гайана;;;;;;;;;;;;;;;;
91;Гонконг;;;;;;;;;;;;;;;;
92;Острова Херд и Макдональд;;;;;;;;;;;;;;;;
93;Гондурас;;;;;;;;;;;;;;;;
94;Хорватия;;;;;;;;;;;;;;;;
95;Гаити;;;;;;;;;;;;;;;;
96;Венгрия;23;Венгрия;;;;Венгерское большинство / цыганское (рома) меньшинство;"Исторически значительные группы цыган (три основных группы с разными диалектами) проживали на территории Венгрии (а также Румынии, Болгарии, Чехии, Словакии), целенаправленная политика регулирования межэтнических отношений до 1990-х гг. фактически отсутствовала. Цыгане составляют около 3% населения (данные переписи 2011 г., по оценкам – до 10%), ввиду высокой рождаемости их численность быстро растет. Помимо различий в организации повседневной жизни и восприятия цыган как инокультурных носителей архаических культурных практик, в основе напряженности и скрытой (на бытовом уровне нередко – явной) дискриминации и сегрегации (особенно в системе школьного образования, где приняты практики раздельного обучения) лежит социальное неблагополучие цыганского меньшинства, низкий уровень жизни, образования, массовая безработица; деятельность преступных этнических группировок.";"Законодательные акты 1990-2000х, обеспечивающие реализацию культурных прав меньшинств и их финансовую поддержку, нуждаются в особых механизмах имплементации подобного законодательства применительно к цыганам (рома). В Венгрии остро стоит проблема бытовой дискриминации и сегрегации цыган, результаты опросов свидетельствуют о достаточно высоком уровне нетерпимости к цыганам, а также к мигрантам. Закон об образовании (1993) гарантирует права меньшинств; функционирует несколько школ для цыган, институт медиаторов цыганского происхождения – помощников учителей. До недавнего времени в Центрально-Европейском Университете в Будапеште при содействии Института «Открытое общество» проводились различные образовательные и экспертные мероприятия по цыганскому и другим вопросам прав меньшинств; однако активность международных фондов (фонд Сороса и др.) в последнее время резко пошла на убыль в связи с принятыми правительством мерами регулирования.  Венгерские межэтнические проблемы курирует Верховный комиссар ОБСЕ по делам национальных меньшинств. Вопросами цыганской проблематики в Венгрии также занимается Бюро по демократическим институтам и правам человека ОБСЕ.";47.17, 19.55;;101;202, 204;305;???;old;0
97;Индонезия;36;Новая Гвинея;;;;Сепаратистские движения / центральное правительство Индонезии;"В 1949 г. Нидерланды и индонезийские националисты в Гааге договорились об условиях независимого существования нового государства. Нидерланды оставили за собой территорию Западной Новой Гвинеи. При поддержке СССР Индонезия в 1960 г. пошла на военное столкновение с Нидерландами, которое завершилось в 1962 г. подписанием Нью-Йоркских соглашений, по условиям которых Западная Новая Гвинея временно передавалась под управление ООН, затем в регионе должен был пройти референдум о дальнейшем статусе. В 1969 г. власти Индонезии смогли сфальсифицировать результаты референдума, допустив до голосования лишь 1025 специально отобранных лидеров фратрий и общин. Бороться против индонезийской политики начало Движение за свободное Папуа. В 1971 г. его лидеры создали альтернативное правительство, объявили независимость и приняли конституцию. Движение за свободное Папуа устраивало теракты, проводило захват заложников, разрушало коммуникации, активно боролось с американской компанией Фрипорт, добывающей медь в регионе. Ответные меры со стороны Джакарты были жесткими: взятие племенных старейшин в качестве заложников, бомбардировки мест предполагаемой дислокации партизан, массовое переселение населения с острова Явы (более 2 млн чел.) в Западную Новую Гвинею, пересмотр границ региона (Западная Новая Гвинея была разделена на две провинции). В 2014 г. сепаратисты создали альянс организаций Объединенное освободительное движение Западного Папуа, которая начала активно искать внешние контакты. Это стало одной из причин широкого внимания со стороны различных международных организаций к проблеме нарушения прав коренного населения; планы подачи в ООН петиции о проведении референдума получили поддержку ряда стран.";Унификационная политика Джакарты, новое административное деление региона, переселение индонезийцев из перенаселенных районов в Западную Новую Гвинею, прямой военный контроль региона. Декларации малых тихоокеанских государств о поддержке Западной Новой Гвинеи, постепенное усиление международного давления на правительство Индонезии по вопросам политики в регионе (так, в 2008 г. было создано межпартийное политическое объединение Международные парламентарии Западного Папуа, а в мае 2017 г. парламентарии Новой Зеландии подписали документ о своей поддержке идеи проведения референдума в Западной Новой Гвинеи).;-5.85, 144.05;;103;202, 205, 201;302;Иван Щедров;upd;0
97;Индонезия;58;Индонезия / о.Калимантан;;;;Этнические, территориальные и клановые сообщества и группы интересов (малайцы и даяки против мадурцев);Основной причиной конфликта является трансмиграционная политика центрального правительства Индонезии, которая была унаследована еще с колониальных времен и получила активную поддержку в 1970-х гг. Она подразумевала переселение мусульманского населения из густонаселенных районов с целью развития экономически отсталых частей страны. Кроме того, руководство страны стремилось ослабить сепаратистские тенденции в тех регионах, в которых большую часть населения составляли представители религиозных меньшинств. Масштабный приток мигрантов с острова Мадура (мадурцы), а также активная вырубка лесов, которые являются традиционной средой обитания для местного немусульманского населения (даяков), явились причиной обострения межэтнических противоречий в конце 1990-х. Вспышки насилия продолжались до конца 2001 г. Число жертв погромов составило несколько тысяч. Попытки правительства страны вмешаться в этно-конфессиональный конфликт имели ограниченное влияние, в итоге большая часть мусульман-мадурцев покинули остров.;После пика активной фазы конфликта между этническими сообществами (местным населением, даяками при поддержке малайцев и приезжими - мадурцами) центральное правительство предприняло попытку прямого вмешательства путем увеличения численности полицейских сил, а позднее – за счет привлечения военных. Были арестованы несколько зачинщиков беспорядков. Основной причиной снижения интенсивности конфликта явилось приостановление трансмиграционной политики и массовый исход представителей мадурцев в другие регионы страны.;-2.76, 103.82;;101;204, 202, 205, 203;301;Иван Щедров;new;0
98;Остров Мэн;;;;;;;;;;;;;;;;
99;Индия;30;Бодоланд;;;;Сепаратистские военизированные и террористические группировки Бодоланда / правительство штата Ассам, центральное правительство ;Один из нескольких конфликтных очагов в штате Ассам. Оказавшись в треугольнике противостояния ассамских мусульманских группировок и центрального правительства, представители народности бодо в штате Ассам с конца 1960-х начали выдвигать требования преобразовать районы их компактного проживания в отдельный штат. Не добившись этого, бодо стали организовывать военизированные и террористические группировки, однако акции прямого действия не привели к изменению ситуации. В 2003 г. в результате подписания соглашения между центральным правительством, правительством штата Ассам и выступающий от имени интересов народа бодо организации Тигры освобождения Бодоленда в составе штата Ассам создана этнотерриториальная автономия (Территориальный автономный округ Бодо) со своим официальным языком (бодо). Бодоленд – одна из беднейших аграрных территорий страны.;Борьба центрального правительства с военизированными сепаратистскими группировками различного толка (Национально-демократический фронт Бодоланда, Фронт освобождения Бодоланда, Силы безопасности бодо, Тигры освобождения Бодоланда и др.).  Предоставление прав территориальной автономии и особого статуса Бодоланду – территории в штате Ассам, месту компактного проживания народности бодо (соглашение 2003 г. между федеральным правительством, властями штата и Тиграми освобождения Бодоланда). Боевики Тигров прекратили вооруженную борьбу и вошли в состав Территориального совета Бодоланда. Однако политическое регулирование не было поддержано другой группировкой – Национально-демократическим фронтом Бодоланда, которая продолжает вооруженную борьбу.;;;101;201, 202, 205, 203, 204;302;???;old;0
99;Индия;31;Кашмирский конфликт ;;;;Исламская Республика Пакистан, военизированные группировки исламистского толка, выступающие за «освобождение» Кашмира от Индии / Республика Индия;Принятое британской колониальной администрацией решение о создании двух независимых государств по конфессиональному признаку после ухода с полуострова Индостан осложнялось существованием порядка шестисот независимых княжеств, не входящих в состав Британской Индии. Правителям княжеств было предложено самим определять в состав какого из государств (Индия или Пакистан) они желают войти. Решение правителя княжества Джамму и Кашмир (с большинством мусульманского населения) махараджи Хари Сингха (индуса по вероисповедованию) было негативно воспринято частью населения будущего Пакистана и руководством молодого «государства мусульман». За попыткой отстранить махараджу от власти последовал жесткий ответ Индии, ставший поводом для Пакистана вступить в силовое противостояние с соcедом. Индо-пакистанская война 1947-1949 гг.  не привела к решению кашмирского вопроса, который позже становился причиной индо-пакистанской войны 1965 г., Каргильской войны 1999 г. и множества менее масштабных вооруженных столкновений. С конца 80-х гг. прошлого века все большую значимость приобретает внутренний фактор недовольства населения индийской части Кашмира, что находит свое выражение в его поддержке радикально-исламистских  группировок, действующих против индийских сил безопасности. Периодически имевшие место этапы деэскалации конфликта с активным переговорным процессом сменялись новыми витками его эскалации, пока что ни одна из сторон не готова к уступкам по ключевому вопросу принадлежности Кашмира.;"После раздела Британской Индии в 1947 году территориальный спор между Индией и Пакистаном по поводу принадлежности Кашмира стал причиной трех полноценных войн между южноазиатскими государствами, которые не привели к окончательному решению проблемы.
Приблизительно треть территории исторического региона занимает частично признанное государственное образование «Свободный Джамму и Кашмир», которое не входит в состав Пакистана и судьба которого по мнению пакистанского руководства должна быть определена после «воссоединения с оккупированной частью региона».
Индия делала ставку на предоставление широкой автономии контролируемой части Кашмира в составе федерации: штат Джамму и Кашмир обладал собственной конституцией, флагом и гербом, за населением штата закреплялись исключительные имущественные права.
Такая политика не дала плодотворных результатов и правительство Индии перешло к прямому управлению регионом из федерального центра:  августе 2019 года правительство Нарендры Моди прекратило действие статьи 370 Конституции Индии, наделяющей штат Джамму и Кашмир особым статусом.
Административная единица была ликвидирована, взамен была создана союзная территория Джамму и Кашмир (с законодательным собранием), а также союзная территория Ладакх (без законодательного собрания).";33.98, 76.18;;103;201, 206, 205;303;Глеб Макаревич;upd;0
99;Индия;46;;;;;;;;;;;;;;;
99;Индия;50;Северо-восточные штаты Индии;;;;Правительство Индии / различные маоистские, сепаратистские и религиозные группировки и движения ;В северо-восточных штатах Индии существует несколько десятков групп и движений, выступающих с социально-политическими лозунгами и, как правило, требующих независимости или автономии племенных территорий. Беспорядки и восстания начались в 1954 г. и с разной интенсивностью продолжаются до сих пор. Наиболее заметными являются повстанческие движения в Манипуре, Нагаленде, Мегхалайе, Ассаме, поддерживаемые этническими группами, частично проживающими в соседних странах (Бутане и Мьянме). Идеология некоторых представляет из себя причудливый сплав из коммунистических и монархических идей, апокалиптического протестантизма и стремления к независимости. Ряд группировок заключили с правительством соглашения, легализовавшись и участвуя в политической жизни региона, другие продолжают борьбу.;Улучшение инфраструктуры региона, ускоренное экономическое развитие, признание множественной (племенной, региональной, национальной) идентичности, вовлечение сепаратистских движений в политическую деятельность, пропаганда национального единства. ;25.71, 84.29;;103;204, 201, 203, 205, 202, 206;303;Алексей Куприянов;new;0
100;Кокосовые острова;;;;;;;;;;;;;;;;
101;Остров Рождества;;;;;;;;;;;;;;;;
102;Британская территория Индийского океана;;;;;;;;;;;;;;;;
103;Ирландия;;;;;;;;;;;;;;;;
104;Иран;53;Белуджский конфликт (Иран);;;;Центральное правительство и силовые структуры ИРИ / белуджское меньшинство / Белуджские организации «Большого» Белуджистана (Пакистан, Афганистан, Иран) / власти Пакистана / диаспоральные белуджские организации ;"Белуджи - разделенный народ, проживающий на территории Ирана, Пакистана и Афганистана, общей численностью от 10 до 20 млн человек. Национальный язык – «балочи». По вероисповеданию большинство придерживается суннитского направления ислама.
Белуджистан делится на Западный (иранский – с белуджским населением около 3 млн человек), Восточный (пакистанский – около 8 млн человек) и Центральный (афганский – около 600 тыс человек). 
Западный Белуджистан вошел в состав Каджарской империи в 1871–1873 гг., и с тех пор, несмотря на многочисленные попытки восстаний против центрального правительства, находится в составе Ирана.  
В современном Иране белуджи являются этническим большинством в провинции Систан и Белуджистан, также проживают в провинциях Хорасан, Керман и Хормозган. Систан и Белуджистан – одна из наименее экономически развитых провинций ИРИ. Проблемами провинции также являются нехватка воды, чрезмерная загрязненность воздуха. 
Среди белуджских организаций наиболее активны организации диаспоры. Их деятельность направлена на привлечение внимания к нарушениям прав человека в Белуджистане (мирные демонстрации, СМИ). Националистические организации белуджей Ирана и Пакистана принимают непосредственное участие в национально-освободительной борьбе путем протестов, террористических акций. 
Среди всех наиболее известной группировкой сейчас является «Джеиш аль-Адль». За период 2012–2022 гг. было реализовано множество терактов, с территории Пакистана неоднократно организовывались нападения на представителей сил безопасности ИРИ, приграничные патрули, похищения и убийства иранских чиновников; осуществлялся ввоз на территорию ИРИ наркотиков, оружия.";"В ИРИ конституционно закреплена «идея общности исламских народов» (ст. 11,12). Правительство Исламской Республики обязывается проводить политику, ориентированную на «союз исламских народов» вне зависимости от конфессии, обеспечивать их политическое, экономическое и культурное единство. 
В ИРИ допускается свободное использование местных национальных языков в прессе и иных СМИ на ряду с персидским, а также для преподавание национальных литератур в школах. (Ст. 15 Конституции). Преподавание национальных языков в школах, напротив, ограничено. 
Исламская шиитская идентичность продвигается в стране посредством политики памяти, политики в сфере культуры и искусства, символической политики (культ шахидов - героев-мучеников ирано-иракской войны, накладывается на сюжеты из истории шиитского ислама; почитаются 12 имамов, «Ашура» имеет статус «национального» траура, в культурной сфере действует исламская цензура, арабский язык и основы религии являются обязательными предметами в школах). 
На развитие провинции Систан и Белуджистан выделяются государственные дотации.";29.45, 60.99;;103;205, 201, 206, 202, 203;302;Анастасия Богачева;new;0
